cluster_id,n,predicados_top,ejemplos,tipo_label
reltype:010,1246,"[[""supervisar"", 312], [""liderar"", 217], [""supervisar en"", 99], [""supervisar por"", 79], [""supervisar a"", 69], [""presidir por"", 39], [""presidir"", 36], [""administrar por"", 32]]","[""El Vale de Descuento GLP es financiado con los recursos del Fondo de Inclusión Social Energético (FISE) , que administra el Minem, y llega a cada beneficiario a través de las empresas de distribución eléctrica que operan en el país."", ""El Reino Unido administra actualmente las vacunas AstraZeneca/Oxford y Pfizer/BioNTech, de las que han recibido una primera dosis casi 11 millones de los 66 millones de habitantes."", ""Así lo informó la empresa concesionaria Aeropuertos Andinos del Perú , que administra estos terminales aéreos, al referirse a las últimas disposiciones establecidas por el Estado peruano para enfrentar a la pandemia de coronavirus y que rigen desde ayer lunes 14 hasta el domingo 28 de febrero.""]",
reltype:011,1160,"[[""registrar"", 291], [""se registrar en"", 178], [""registrar en"", 170], [""registrar segun"", 96], [""se registrar"", 88], [""registrar de"", 61], [""se registrar durante"", 31], [""registrar durante"", 30]]","[""Consumo interno de cemento registra un crecimiento de 17.72% en noviembre\nEn noviembre del año 2020, el consumo interno de cemento creció en 17.72% al compararlo con similar mes del año 2019 y acumuló cuatro meses de resultados positivos consecutivos, registrando la tasa más alta de los primeros 11 meses del año; así lo informó el Instituto Nacional de Estadística e Informática (INEI) en el informe técnico del Avance Coyuntural."", ""Afiliados con certificado médico oncológico podrán registrar solicitudes de retiro de AFP\nDesde el 4 de enero próximo, los afiliados que tengan diagnóstico oncológico y que cuenten con el número autogenerado del Registro Minsa, que figura en el certificado médico emitido por una institución prestadora de servicios de salud (Ipress), podrán registrar sus solicitudes de retiro de hasta cuatro unidades impositivas tributarias (UIT)."", ""Sin embargo, la agroindustria en las exportaciones no tradicionales registró un crecimiento de 8.2% en el referido periodo al sumar 6,022 millones de dólares Los productos agroindustriales del Perú más demandados por los mercados internacionales fueron los arándanos, paltas, uvas, pota congelada y espárragos.""]",
reltype:012,1118,"[[""fortalecer"", 147], [""mejorar"", 89], [""reforzar"", 81], [""fortalecer a"", 79], [""fortalecer en"", 67], [""fortalecer para"", 62], [""mejorar para"", 51], [""mejorar en"", 43]]","[""Respeto este país a veces más que el mismo peruano y creo que he aportado a enriquecer la cultura del Perú, trayendo mi cultura europea."", ""A la fecha se han titulado 1’703,332 predios rurales individuales, 1,597 comunidades indígenas y 5,151 comunidades campesinas que están inscritas en la Superintendencia Nacional de los Registros Públicos (Sunarp), que fortalece la economía de las familias del campo, puesto que les permite el acceso a créditos financieros y a programas del Estado."", ""Midis fortalecerá intervenciones para lograr protección social con enfoque territorial\nLa ministra de Desarrollo e Inclusión Social, Silvana Vargas, anunció que en este año se fortalecerán las intervenciones de los programas sociales con una mirada territorial enfocada en el ciclo de vida de las personas que priorice las oportunidades de bienestar e inclusión social, especialmente en las poblaciones en vulnerabilidad y en situación de pobreza o pobreza extrema, en el contexto de la emergencia sanitaria.""]",
reltype:013,901,"[[""reconocer"", 178], [""detectar"", 106], [""reconocer por"", 90], [""reconocer a"", 77], [""identificar"", 55], [""detectar en"", 49], [""identificar a"", 42], [""recoger"", 40]]","[""La Contraloría General de República detectó que un grupo de ex funcionarios y ex servidores del Programa Nacional de Saneamiento Urbano (PNSU) evitó la aplicación y cobro de penalidades por 3 millones 39,760 soles al contratista elegido para la adquisición de 25 camiones hidrojet, utilizados para obras necesarias en la limpieza de colectores afectados por el Niño Costero 2017."", ""Luego de revisar las “Actas de entrega de bienes”, la Comisión de Control detectó que los vehículos recién ingresaron al almacén cedido por el Ministerio de Vivienda Construcción y Saneamiento, ubicado en el distrito de San Juan de Miraflores, entre el 27 de abril y el 5 de junio de 2018, es decir fuera de los plazos establecidos en el contrato (previstos para los primeros días de febrero, marzo y abril del 2018), por lo que el contratista incurrió en retrasos injustificados en la entrega de dichos bienes que van entre 45 y 81 días."", ""El informe detecta la presunta responsabilidad civil y administrativa en seis exfuncionarios y exservidores del PNSU que laboraban en la entidad entre los años 2017 y 2018, recomendando al titular de la entidad poner en conocimiento de la Procuraduría Pública encargada de los asuntos judiciales del ministerio para que inicie las acciones legales contra las personas involucradas.""]",
reltype:014,802,"[[""publicar"", 436], [""publicar en"", 141], [""se publicar en"", 96], [""publicar para"", 45], [""se publicar"", 18], [""publicar a"", 17], [""publicar con"", 11], [""publicar el en"", 10]]","[""ONPE publicó una relación de medios de comunicación que forman el Registro de Proveedores que integrarán el catálogo de tiempos y espacios disponibles para la contratación de publicidad en radio y televisión, con motivo de la transmisión de la franja electoral correspondiente a las elecciones generales del 11 de abril del 2021."", ""El Programa Nacional de Becas y Crédito Educativo (Pronabec), del Ministerio de Educación, publicó la lista de los 30,381 estudiantes preseleccionados del concurso Beca 18 convocatoria 2021."", ""El ente electoral dispuso también publicar la resolución 0091 -2020-JEE-LIC1/JNE en el portal electrónico institucional del Jurado Nacional de Elecciones; además de publicarla con el formato resumen del plan de trabajo en el panel del JEE-Lima Centro 1""]",
reltype:015,740,"[[""reportar"", 249], [""reportar a"", 74], [""reportar hasta"", 66], [""se reportar"", 50], [""reportar en"", 41], [""denunciar"", 38], [""se reportar en"", 26], [""reportar de"", 25]]","[""El Ministerio de Cultura invoca a la ciudadanía a colaborar activamente en la defensa y protección de nuestra valiosa herencia ancestral, denunciando cualquier acto o a cualquier persona, natural o jurídica que atente contra la integridad de nuestros bienes culturales muebles e inmuebles, arqueológicos e históricos, que están bajo el amparo de la Ley General del Patrimonio Cultural de la Nación."", ""La principal motivación de estos falsos especialistas es el lucro sin importar la salud y el estado nutricional de las personas”, denunció el Decano."", ""Junto a la autoridad regional, también fueron denunciados el gerente general, Manuel Quispe Ramos; el gerente de Desarrollo Social, León Quispe Huaranca ; el director regional de salud, Walter Oporto Pérez; el director de la Red de Salud de San Román, Enrique Sotomayor Perales; y el director del Hospital Carlos Monje Medrano, Víctor Candia Mengoa.""]",
reltype:016,732,"[[""recomendar"", 321], [""recomendar ante"", 150], [""recomendar a"", 111], [""recomendar por"", 34], [""recomendar en"", 33], [""se recomendar en"", 21], [""recomendar de"", 14], [""recomendar segun"", 10]]","[""–La ley que fija límites a los costos de financiamiento aún no se promulga y enviamos un oficio al Ministerio de Economía (MEF) recomendando su observación por la imposición de topes a las tasas de interés de los préstamos y por el tema de las comisiones."", ""El Banco de la Nación recomienda respetar el distanciamiento social y cumplir con las normas sanitarias dispuestas por el Gobierno contra el covid-19."", ""El Instituto Nacional de Defensa Civil recomienda que, en caso de sismo, se mantenga la calma y evite el pánico.""]",
reltype:017,666,"[[""confirmar"", 449], [""confirmar a"", 44], [""confirmar en"", 39], [""confirmar por"", 30], [""confirmar al"", 22], [""confirmar ante"", 15], [""se confirmar"", 15], [""confirmar con"", 14]]","[""La Dirección de Hidrografía y Navegación de la Marina de Guerra del Perú confirmó la magnitud del sismo en Trujillo y descartó que este evento natural genere un tsunami en el litoral peruano."", ""Vea aquí la galería fotográfica “El Club América confirma la llegada del volante peruano Pedro Jesús Aquino”, menciona el club en un comunicado difundido en Twitter, en el que también oficializan la llegada del mexicano Alan Medina, refuerzos de cara al torneo mexicano."", ""Detienen a 47 personas en discoteca que funcionaba en centro histórico de Cusco\nPese al estado de emergencia y las restricciones para evitar el avance del covid-19, una discoteca funcionaba en pleno centro histórico de la ciudad imperial, por ello los efectivos policiales la intervinieron y detuvieron a 47 personas, entre ellas una adolescente, confirmó la VII Macro Región Policíal de Cusco.""]",
reltype:018,650,"[[""promover"", 273], [""promover en"", 62], [""promover por"", 43], [""promover con"", 38], [""promover para"", 36], [""promover a"", 28], [""promover de"", 28], [""fomentar en"", 24]]","[""Lea también: Declaran Patrimonio Cultural de la Nación a danza Ayarichi de Cuyocuyo Asimismo, la percepción social del paisaje ha fomentado el desarrollo de un bagaje de conocimientos particulares de tipo religioso y etnoastronómico ."", ""El IIAP destacó que la alianza fomentará también la inclusión de los pequeños productores y extractores forestales en la gestión forestal sostenible y competitiva de los bosques inundables, así como promover el manejo pesquero sostenible en Loreto y Ucayali."", ""Frente a una científica y tres jóvenes ganadoras del concurso escolar de ciencias Eureka, el jefe de Estado llamó la atención sobre la necesidad urgente de abandonar los roles de género en la actividad científica para continuar fomentando la participación de las peruanas, como Milagros Zavaleta, Directora de Investigación de BTS Consultores SAC, firma responsable del desarrollo del primer kit peruano de diagnóstico molecular de COVID-19, presente en el evento.""]",
reltype:019,627,"[[""contribuir a"", 78], [""apoyar a"", 69], [""contribuir con"", 53], [""apoyar en"", 52], [""ayudar"", 45], [""apoyar"", 43], [""contribuir"", 37], [""contribuir en"", 32]]","[""Aporte al PBI Según el Instituto Nacional de Estadística e Informática (INEI), el sub sector Consumo Interno de Cemento tiene un peso ponderado del 74% en el producto bruto interno del sector Construcción."", ""Son 30 millones de peruanos que están detrás de mí, me apoyan, en las redes sociales me escriben que me admiran y siguen mi carrera."", ""Apuesta por la ciencia en el 2021 Durante el 2021 se continuará apoyando nuevos proyectos de salud debido al contexto de emergencia sanitaria.""]",
reltype:020,616,"[[""decidir"", 102], [""ordenar al"", 65], [""elegir"", 59], [""elegir en"", 53], [""elegir a"", 33], [""elegir para"", 33], [""insistir"", 27], [""insistir en"", 27]]","[""Elecciones 2021: Salaverry espera convencer y ganar el voto de los indecisos\nEl candidato a la presidencia por Somos Perú, Daniel Salaverry, espera que su presentación en el debate organizado por el Jurado Nacional de Elecciones (JNE) haya convencido a aquellos electores que están indecisos y que alcanzarían al 30% y 40% de los votantes, según las encuestas."", ""El candidato a la presidencia por Somos Perú, Daniel Salaverry, espera que su presentación en el debate organizado por el Jurado Nacional de Elecciones (JNE) haya convencido a aquellos electores que están indecisos y que alcanzarían al 30% y 40% de los votantes, según las encuestas."", ""Ministerio de Cultura delega facultades a diversos funcionarios del sector\nEl Ministerio de Cultura (Mincul) decidió delegar facultades y atribuciones en diversos funcionarios del sector durante el Ejercicio Fiscal 2021, mediante la Resolución Ministerial N° 000001-2021-DM-MC publicada hoy en una edición extraordinaria de Normas Legales del Diario Oficial El Peruano.""]",
reltype:021,528,"[[""ampliar"", 149], [""prorrogar por"", 52], [""ampliar hasta"", 38], [""ampliar de"", 27], [""ampliar a"", 26], [""ampliar por"", 21], [""ampliar desde"", 20], [""prorrogar"", 20]]","[""La segunda ola de la pandemia del coronavirus sigue marcando máximos en varios países europeos, como Alemania, Francia, el Reino Unido o Italia, algunos de los cuales ya se plantean ampliar las restricciones aunque aún no se conoce el verdadero impacto de las fiestas de Navidad y Año Nuevo en la curva de contagios."", ""Amplían mandato de las directivas de organizaciones de usuarios de riego\nEl Ministerio de Desarrollo Agrario y Riego (Midagri) dio a conocer la promulgación del Decreto de Urgencia No."", ""De esta manera, en un trabajo conjunto con las regiones el Minsa ha contribuido a la reducción de los efectos adversos de la propagación del covid-19, ampliando la cobertura de salud de pobladores indígenas que residen en 5,351 comunidades indígenas y centros poblados rurales de las regiones antes mencionadas.""]",
reltype:022,525,"[[""revisar"", 207], [""verificar"", 129], [""verificar en"", 31], [""revisar en"", 20], [""comprobar"", 17], [""verificar para"", 14], [""comprobar de"", 13], [""se verificar"", 13]]","[""El representante del Ministerio Público comprobó que en el 2013 se convocó al proceso de Adjudicación Directa Selectiva 1-2013-CEP/MDQ, para contratar la ejecución de la obra \""Construcción de trocha carrozable Santa Rosa-Barbas y Ramal-Tayme Ñule, Mejoramiento del tramo Santa Rosa-Pati Pampa, Querocotillo-Cutervo”, y para ello se utilizó un expediente técnico de otra obra."", ""Investigaciones, como la del científico peruano Mario Carhuapoma han comprobado que las antocianinas presentes en el pigmento morado contenido en el corazón o “coronta” y también en los granos de este tipo de maíz, contribuyen a prevenir la formación del cáncer de colon y de otros órganos del cuerpo humano."", ""Además, comprobarán la aplicación de medidas de seguridad, verificarán el acopio de material electoral y la presencia de personal de la Policía Nacional y Fuerzas Armadas en los locales de votación, así como garantizar el derecho al voto de las personas transgénero.""]",
reltype:023,523,"[[""vea"", 347], [""vea en"", 48], [""vea durante"", 38], [""velar por"", 33], [""vea de"", 11], [""velar de"", 11], [""vea a"", 10], [""vea mediante"", 10]]","[""Vea aquí la galería fotográfica Lo acompaña en esta actividad, desarrollada en el distrito de Jesús María, el ministro del Interior, José Elice, y autoridades del Cuerpo General de Bomberos Voluntarios."", ""Vea aquí la galería fotográfica En el comité ejecutivo nacional participan ministros de Estado, los titulares de los principales estamentos de la sociedad civil, incluido el sector empresarial, Asimismo, la Asamblea Nacional de Gobiernos Regionales, la Asociación de Municipalidades del Perú, la Red de Municipalidades Urbanas y Rurales del Perú y la Defensoría del Pueblo."", ""Vea aquí la galería fotográfica Junto al Mandatario encabeza la reunión la titular del Consejo de Ministros, Violeta Bermúdez, informó el Poder Ejecutivo vía redes sociales.""]",
reltype:024,516,"[[""modificar"", 139], [""trasladar a"", 39], [""se trasladar a"", 33], [""cambiar"", 27], [""trasladar en"", 26], [""modificar ante"", 22], [""modificar en"", 18], [""se trasladar al"", 16]]","[""Sunat adapta norma a nuevas medidas sobre zonas extremas y muy altas\nLa Superintendencia Nacional de Aduanas y de Administración Tributaria (Sunat) modificó hoy la Resolución 000016-2021/Sunat a fin de adaptarla a las nuevas disposiciones sobre zonas con nivel de alerta extremo y muy alto por el covid-19."", ""\""Las vacunas pueden perder efectividad, pero podemos adaptarlas rápidamente\"", subrayó, aunque defendió que para ello debe hacerse un seguimiento continuado de las variaciones que vayan apareciendo, mediante una frecuente secuenciación de muestras en laboratorios."", ""Vivienda: Vitrina Inmobiliaria cambió su horario de atención\nLa Vitrina Inmobiliaria, el principal centro de información sobre los bonos y programas habitacionales del Ministerio de Vivienda, Construcción y Saneamiento (MVCS), cambió su horario de atención debido a las nuevas disposiciones del Gobierno para enfrentar la segunda ola del covid-19.""]",
reltype:025,502,"[[""trabajar en"", 118], [""trabajar"", 87], [""trabajar con"", 68], [""trabajar de"", 63], [""trabajar por"", 29], [""trabajar para"", 27], [""trabajar desde"", 18], [""trabajar durante"", 18]]","[""También colaboraron, la municipalidad de Miraflores, el club Rotaract de Lima , Programa Nacional de Hemoterapia y Bancos de Sangre (Pronahebas), el Club de Donantes de Sangre del Perú, la Asociación de Donantes de Sangre del Perú, la iglesia Alianza Cristiana y Misionera del Perú, entre otros."", ""Elecciones 2021: invitan a ciudadanos a colaborar con instalación de mesas de sufragio\nLa Oficina Nacional de Procesos Electorales (ONPE) solicitó, especialmente a los electores jóvenes asumir, de darse el caso, la conducción de las mesas de sufragio por posibles demoras en su instalación, tal como establece la Ley Orgánica de Elecciones (Ley 26859)."", ""Elecciones 2021: ONPE invita a ciudadanos a colaborar con instalación de mesas de sufragio\nLa Oficina Nacional de Procesos Electorales (ONPE) invitó a los ciudadanos a colaborar con la instalación de mesas de sufragio durante las elecciones generales de este domingo 11 de abril.""]",
reltype:026,479,"[[""autorizar al"", 72], [""ingresar al"", 38], [""corresponder al"", 30], [""ratificar al"", 26], [""acompanar al"", 22], [""permitir al"", 21], [""inscribir al"", 20], [""excluir al"", 19]]","[""Comisión del Minsa recibió información sobre aplicación de vacunas\nLa presidenta del Consejo de Ministros, Violeta Bermúdez, acompañó al ministro de Salud, Óscar Ugarte, durante la entrega de información, a la comisión investigadora del Minsa, referida a las personas vacunadas contra la covid-19 durante el ensayo clínico."", ""La presidenta del Consejo de Ministros, Violeta Bermúdez, acompañó al ministro de Salud, Óscar Ugarte, durante la entrega de información, a la comisión investigadora del Minsa, referida a las personas vacunadas contra la covid-19 durante el ensayo clínico."", ""20 millones para estímulos El ministro de Cultura, Alejandro Neyra, quien acompañó al mandatario en esta visita, explicó que se destinará 20 millones de soles para los estímulos económicos, lo que permitirá darle continuidad a las iniciativas que se presentaron el año pasado.""]",
reltype:027,473,"[[""concluir"", 125], [""finalizar"", 57], [""concluir con"", 43], [""cerrar con"", 33], [""concluir en"", 29], [""cerrar en"", 25], [""acabar"", 22], [""terminar en"", 22]]","[""Real Madrid: Defensa David Alaba ficha por cuatro temporada\nEl Real Madrid ha llegado a un acuerdo con el austríaco David Alaba, defensa del Bayern Múnich que acaba contrato el próximo 30 de junio, para que se incorpore a la disciplina blanca la próxima temporada, según anuncia en su portada el diario deportivo 'Marca'\n07:30 | Barcelona, ene."", ""MTPE publica Guía de Prácticas Ergonómicas\nComo un aporte para las miles de personas-trabajadoras y estudiantes- que convirtieron, de forma improvisada, su hogar en su oficina para continuar con sus compromisos laborales, el Ministerio de Trabajo y Promoción del Empleo (MTPE) acaba de publicar la “Guía de Prácticas Ergonómicas para el trabajo remoto durante el confinamiento por el covid-19”."", ""Como un aporte para las miles de personas-trabajadoras y estudiantes- que convirtieron, de forma improvisada, su hogar en su oficina para continuar con sus compromisos laborales, el Ministerio de Trabajo y Promoción del Empleo (MTPE) acaba de publicar la “Guía de Prácticas Ergonómicas para el trabajo remoto durante el confinamiento por el covid-19”.""]",
reltype:028,468,"[[""firmar"", 133], [""ratificar"", 129], [""ratificar en"", 38], [""firmar en"", 26], [""ratificar de"", 20], [""se firmar"", 16], [""ratificar hasta"", 15], [""se ratificar en"", 9]]","[""El Ministerio de Energía y Minas (Minem) ha firmado recientemente un convenio con las comunidades para trabajar en el cierre de brechas, de manera que el Oleoducto Norperuano comience a funcionar en los próximos días."", ""Mazzetti: Perú firmó convenio para el transporte aéreo de la vacuna contra la covid-19\nLa ministra de Salud, Pilar Mazzetti, informó que ayer se ha firmado el convenio para el transporte aéreo de la vacuna contra la covid-19 hacia el Perú, el cual debe hacerse en aviones acondicionados y contenedores especiales."", ""UU., Joe Biden, firmó este miércoles una orden ejecutiva para evitar la salida de su país de la Organización Mundial de la Salud (OMS), un proceso que inició su antecesor, Donald Trump, y que estaba previsto que se hiciera efectivo en julio de 2021.""]",
reltype:029,452,"[[""evitar"", 77], [""evitar para"", 57], [""evitar en"", 51], [""impedir"", 37], [""excluir por"", 31], [""prevenir para"", 24], [""excluir a"", 23], [""evitar a"", 16]]","[""Afirmó que este proceso está permitiendo ampliar la inclusión financiera y que, en ese sentido, más de 400 mil hogares ya han sido incluidos a la “billetera digital”, modalidad de pago que permite cobrar el bono mediante aplicativos y sin acudir al banco, y que se implementa con el Banco de la Nación y otras 17 entidades financieras."", ""En la grabación, la cual se convirtió viral, se observa a Chang Rios al interior de un local sin cumplir con el distanciamiento social y con mascarilla en mano, rompiendo con los protocolos establecidos por la pandemia."", ""MTC evitó desembolso de S/ 783 millones a favor de consorcios investigados\nPara el Ministerio de Transportes y Comunicaciones (MTC) la lucha contra la corrupción es uno de sus principales objetivos, por ello, a través de su Procuraduría Pública, evitó que el Estado desembolse 783.2 millones de los 867 millones de soles que solicitaban empresas vinculadas al denominado caso ‘Club de la Construcción’.""]",
reltype:030,440,"[[""exhortar a"", 292], [""exhortar"", 45], [""exhortar ante"", 34], [""exhortar por"", 30], [""se exhortar a"", 17], [""exhortar en"", 11], [""exhortar bajo"", 3], [""exhortar mediante"", 3]]","[""Los exhortó a seguir pagando sus impuestos de forma puntual para que el Estado tenga los suficientes recursos para dar un nuevo impulso a la economía."", ""Gobierno exhorta a promover el trabajo remoto en sector público y privado\nLa presidenta del Consejo de Ministros, Violeta Bermúdez, instó a promover el trabajo remoto tanto en el sector público como el privado, mientras dure la pandemia del covid-19."", ""Minsa exhorta a prevenir peligros por exposición a metales pesados en Puno\nLa titular del Ministerio de Salud (Minsa), Pilar Mazzetti, exhortó a la población de Puno, en especial a los habitantes de la cuenca del río Coata, a prevenir los peligros por exposición a metales pesados.""]",
